SetID,SetType,Time,Chan,Status,Thr,Amp,RiseT,Dur,Eny,RMS,Counts,TRAI,CHits,PA0,PA1
161908,2,10955.85334435,3,0,11.3694478249001,17.8662751534145,1,8.05,0.196584393390633,2.41273109620859,3,71326,1,,
162300,2,10984.44680135,3,0,11.3694478249001,33.8376423360122,1.2,51.3,0.494815700971559,2.40386076129606,10,71493,1,,
162611,2,11007.36851685,3,0,11.3694478249001,22.197493372424,1,4.35,0.19304061580092,2.41095702922609,2,71633,1,,
163516,2,11075.4527864,3,0,11.3694478249001,20.8439876789835,1.95,53.2,0.332467306131668,2.4162792301736,4,72020,1,,
164654,2,11157.6870426,3,0,11.3694478249001,24.904504759305,4.25,25.15,0.327484326890549,2.41273109620859,5,72522,1,,
168052,2,11401.9546044,3,0,11.3694478249001,29.5064241170027,9.7,28.55,0.512640110833465,2.41805329715611,7,73995,1,,
168832,2,11454.94457955,3,0,11.3694478249001,34.6497457520765,1.25,63.55,0.768243496588754,2.40208669431355,14,74339,1,,
170646,2,11576.6648975,3,0,11.3694478249001,180.557659504961,14,420.9,18.2436015249828,2.41095702922609,65,75136,1,,
170749,2,11585.50723115,3,0,11.3694478249001,16.512769459974,3.1,72.6,0.5652222664843,2.4145051631911,12,75180,1,,
171830,2,11663.61589985,3,0,11.3694478249001,12.4522523796525,0.1,100.05,0.151705337413715,2.40918296224358,2,75652,1,,
174454,2,11848.80182115,3,0,11.3694478249001,22.7388956498002,5.55,23.65,0.35760203965672,2.41095702922609,6,76801,1,,
176373,2,11981.4239295,3,0,11.3694478249001,12.7229535183406,0.1,87.75,0.150310103226202,2.41982736413862,2,77640,1,,
177234,2,12040.67996605,3,0,11.3694478249001,97.1817087890271,8.45,94.55,3.9540966185764,2.40563482827857,23,78021,1,,
178403,2,12127.5523809,3,0,11.3694478249001,122.898316964396,9.9,859.9,36.7518051099975,2.4145051631911,197,78524,1,,
181747,2,12365.5521426,3,0,11.3694478249001,17.8662751534145,0.25,13.6,0.205178566999432,2.41805329715611,2,79983,1,,
182923,2,12452.324616,3,0,11.3694478249001,34.6497457520765,36.15,281.05,1.76706116732109,2.41273109620859,32,80496,1,,
183220,2,12471.13142035,3,0,11.3694478249001,61.9905607595744,1.8,96.35,1.34140628705199,2.4145051631911,16,80626,1,,
186127,2,12690.6743173,3,0,11.3694478249001,12.1815512409644,61.15,61.25,0.120904663375085,2.41095702922609,2,81873,1,,
187787,2,12804.9288303,3,0,11.3694478249001,31.4013320878193,3.8,33.2,0.422456980062003,2.4145051631911,6,82601,1,,
193118,2,13183.11316805,3,0,11.3694478249001,26.5287115914336,17.7,465.35,2.38081765161388,2.41095702922609,46,84918,1,,
193308,2,13197.42708445,3,0,11.3694478249001,157.548062716473,8.3,333.5,11.265270319358,2.4145051631911,45,84999,1,,
195656,2,13376.04669545,3,0,11.3694478249001,12.9936546570287,71.55,71.7,0.127259427489641,2.41095702922609,2,86016,1,,
196461,2,13428.2975443,3,0,11.3694478249001,17.3248728760383,87.4,96.1,0.398125385544049,2.41273109620859,5,86371,1,,
197596,2,13509.4190316,3,0,11.3694478249001,4865.58226677987,9.85,2710.25,10410.2363299648,2.4145051631911,645,86864,1,,
197598,2,13509.4220437,3,0,11.3694478249001,11.6401489635882,0.05,45.45,0.155644822178458,2.4145051631911,2,86865,1,,
199839,2,13671.1702957,3,0,11.3694478249001,451.258798193059,3.8,360.2,65.1399902671895,2.40386076129606,89,87836,1,,
200636,2,13728.94634865,3,0,11.3694478249001,21.3853899563597,5.85,26.6,0.238098472797667,2.41095702922609,3,88185,1,,
200980,2,13752.7154163,3,0,11.3694478249001,210.876187038028,7.35,306.65,23.9684877518183,2.40918296224358,60,88333,1,,
203471,2,13939.4867712,3,0,11.3694478249001,25.9873093140574,1.1,26.7,0.228311315335259,2.40918296224358,4,89413,1,,
204747,2,14032.73846165,3,0,11.3694478249001,47.101998131729,2.5,100.6,0.979911661258678,2.4145051631911,13,89970,1,,
209699,2,14378.96776615,3,0,11.3694478249001,11.6401489635882,0.05,70.75,0.114881120821851,2.4162792301736,2,92132,1,,
209862,2,14391.73812895,3,0,11.3694478249001,412.819236499349,8.55,518.45,90.4036217405525,2.4145051631911,106,92204,1,,
211443,2,14507.5249085,3,0,11.3694478249001,28.9650218396265,2.6,24.2,0.341934966689792,2.41273109620859,7,92898,1,,
212847,2,14601.0742803,3,0,11.3694478249001,88.519272351008,1.95,141.7,3.68376706358147,2.41273109620859,27,93515,1,,
213901,2,14681.6363081,3,0,11.3694478249001,14.3471603504692,182.3,345.85,0.8842824272931,2.40208669431355,8,93960,1,,
